Producto,Precio,Precio envio,Tienda,Fecha,precio_clp,precio final
"MACETAS DE INTERIOR DE 6 PULGADAS CON ORIFICIO DE DRENAJE Y PLATILLO DE BANDEJA, MACETAS PARA PLANTAS Y FLORES DE JARDÍN DE INTERIORES Y EXTERIORES, MULTICOLOR, 4 PAQUETES",8564,"Entrega por CLP 14,960 el mié, 25 de feb",Amazon,11-02-2026,14960,23524
"MACETAS DE 4 PULGADAS, JUEGO DE 6 MACETAS DE INTERIOR, MACETAS CON AGUJEROS DE DRENAJE Y BANDEJAS PARA ORQUÍDEAS, VIOLETAS, SUCULENTAS, HIERBAS Y OTRAS PLANTAS, COLORIDAS",8564,"Entrega por CLP 12,045 el jue, 26 de feb",Amazon,11-02-2026,12045,20609
"MACETAS GRANDES DE RIEGO AUTOMÁTICO DE 8/9/10 PULGADAS, MACETAS DE PLÁSTICO CON ORIFICIOS DE DRENAJE DE MALLA MÚLTIPLE E INDICADOR DE NIVEL DE AGUA Y DEPÓSITO PROFUNDO PARA PLANTAS Y FLORES DE",14566,"Entrega por CLP 19,606 el jue, 26 de feb",Amazon,11-02-2026,19606,34172
"LE TAUCI MACETAS DE CERÁMICA, MACETAS CON PATAS DE 5.1 + 6.4 PULGADAS PARA PLANTAS, MACETAS MODERNAS PARA EL HOGAR Y LA OFICINA, MACETAS DE INTERIOR CON DRENAJE, ESMALTE REACTIVO BLANCO",23139,"Entrega por CLP 18,801 el mié, 25 de feb",Amazon,11-02-2026,18801,41940
"LINDAS MACETAS DE CERÁMICA PARA SUCULENTAS, MACETA CON DRENAJE Y PLATILLO ADJUNTO, JUEGO DE 5 PLANTAS NO INCLUIDAS (REDONDA)",19709,"Entrega GRATIS el mié, 25 de feb a Chile en US$49 (CLP 42,008) de artículos elegibles",Amazon,11-02-2026,42008,61717
MACETAS DE INTERIOR CON PLATILLOS Y DRENAJE - PAQUETE DE 6 MACETAS DE FLORES - MACETEROS DE PLÁSTICO PARA PLANTAS DE INTERIOR - TAMAÑOS DE 7.5/6.6/5.8/5.0/4.3/3.5 PULGADAS PARA TODOS LOS,11136,"Entrega por CLP 15,937 el mié, 25 de feb",Amazon,11-02-2026,15937,27073
"QCQHDU MACETA DE 8 PULGADAS, PAQUETE DE 2 MACETAS PARA PLANTAS DE INTERIOR CON AGUJEROS DE DRENAJE Y PLATILLO, MACETAS PARA EXTERIORES, DECORACIÓN MODERNA PARA EL HOGAR Y EL JARDÍN",14566,"Entrega por CLP 18,706 el vie, 27 de feb",Amazon,11-02-2026,18706,33272
"LE TAUCI MACETAS DE 12 PULGADAS PARA PLANTAS, MACETAS DE CERÁMICA CON AGUJEROS DE DRENAJE Y PLATILLOS, MACETA GRANDE ELEGANTE Y DURADERA, PERFECTA PARA DECORACIÓN DEL HOGAR Y LA OFICINA, COLOR BLANCO",60002,"Entrega por CLP 56,196 el jue, 26 de feb",Amazon,11-02-2026,56196,116198
"MIXC MACETAS DE VIVERO ENGROSADAS TRANSPARENTES CON BASE DE SILICONA PARA FÁCIL TRASPLANTE, 30 PAQUETES DE 4 PULGADAS, MACETA TRANSPARENTE REUTILIZABLE PARA PLÁNTULAS DE VEGETALES, ESQUEJES DE RAÍZ",19538,"Entrega GRATIS el mié, 25 de feb a Chile en US$49 (CLP 42,008) de artículos elegibles",Amazon,11-02-2026,42008,61546
"QUARUT PAQUETE DE 3 MACETAS DE 10 PULGADAS, MACETAS DE BARRIL DE WHISKY CON AGUJEROS DE DRENAJE Y PLATILLO, MACETAS DE PLÁSTICO PARA DECORACIÓN DE FLORES CON DISEÑO DE BARRIL DE VINO IMITACIÓN, PARA",22281,"Entrega por CLP 21,655 el jue, 26 de feb",Amazon,11-02-2026,21655,43936
"LE TAUCI MACETAS DE 4.1 + 5.1 + 6.5 PULGADAS, JUEGO DE 3, MACETAS DE CERÁMICA CON ORIFICIO DE DRENAJE Y PLATILLO, MACETA DE INTERIOR CON ALMOHADILLA DE MALLA DE AGUJERO, REGALOS PARA MAMÁ, ESMALTE",34283,"Entrega por CLP 24,973 el mié, 25 de feb",Amazon,11-02-2026,24973,59256
"PAQUETE DE 28 MACETAS PEQUEÑAS DE 4 PULGADAS, MACETAS DE PLÁSTICO CON AGUJEROS DE DRENAJE Y PLATILLOS PARA FLORES, PLANTAS, SUCULENTAS, MACETAS DE INICIO DE SEMILLAS, COLOR BLANCO",13837,"Entrega por CLP 14,017 el mié, 25 de feb",Amazon,11-02-2026,14017,27854
"ANYUMOCZ 60 PIEZAS DE 1 GALÓN DE MACETAS FLEXIBLES PARA VIVERO DE PLANTAS, MACETA DE PLÁNTULA DE PLÁSTICO SUAVE Y ENGROSADO CON AGUJEROS, CONTENEDOR DE PLANTAS DE FLORES PARA SUCULENTAS, ESQUEJES",13708,"Entrega por CLP 22,273 el jue, 26 de feb",Amazon,11-02-2026,22273,35981
"PAQUETE DE 5 MACETAS CON DRENAJE DE 7/6.5/6/5.5/5 PULGADAS, MACETAS DE RIEGO AUTOMÁTICO PARA PLANTAS DE INTERIOR, MACETAS PARA PLANTAS DE INTERIOR Y EXTERIOR, MACETA DE PLÁSTICO, MACETA PARA",11128,"Entrega GRATIS el mié, 25 de feb a Chile en US$49 (CLP 42,008) de artículos elegibles",Amazon,11-02-2026,42008,53136
"COSMOLIVING BY COSMOPOLITAN - MACETA DE METAL PARA INTERIORES Y EXTERIORES, MACETA GRANDE CON SOPORTE EXTRAÍBLE, JUEGO DE 2 MACETAS DE 19 PULGADAS, 22 PULGADAS DE ALTO, COLOR DORADO",52278,"Entrega por CLP 80,989 el jue, 26 de feb",Amazon,11-02-2026,80989,133267
"THE HC COMPANIES MACETAS REDONDAS TUCSON DE 20 PULGADAS CON ASPECTO DE CERÁMICA, RESINA LIGERA RESISTENTE A LOS RAYOS UV PARA INTERIORES Y EXTERIORES, 1 PAQUETE DE MACETAS PARA DECORACIÓN DE JARDÍN Y",42822,"Entrega por CLP 92,348 el vie, 27 de feb",Amazon,11-02-2026,92348,135170
"WORTH JUEGO DE MACETAS REDONDAS DE 9 GALONES DE ALTO, 2-14 PULGADAS DE DIÁMETRO X 21 PULGADAS DE ALTO, CON ACABADO DE PIEDRA, CONTENEDOR DECORATIVO PARA INTERIORES, JARDÍN, PATIO, IRROMPIBLE, BEIGE",85507,"Entrega por CLP 94,217 el vie, 27 de feb",Amazon,11-02-2026,94217,179724
CREATIVE CO-OP - MACETA GRANDE DE CERÁMICA BLANCA MATE CON RELIEVE,84864,"Entrega por CLP 61,854 el jue, 26 de feb",Amazon,11-02-2026,61854,146718
"DALZOM® 60 MACETAS DE TURBA DE 3.1 PULGADAS CON 60 ETIQUETAS PARA PLANTAS, MACETAS BIODEGRADABLES PARA PLÁNTULAS CON AGUJEROS DE DRENAJE, MACETAS DE JARDÍN PARA VIVEROS, BANDEJAS DE INICIO DE SEMILLAS",8556,"Entrega por CLP 13,425 el mié, 25 de feb",Amazon,11-02-2026,13425,21981
"AMAZON BASICS MACETA REDONDA DE CERÁMICA ACANALADA, 8 PULGADAS, COLOR BLANCO",28077,"Entrega por CLP 28,377 el jue, 26 de feb",Amazon,11-02-2026,28377,56454
"TON SIN MACETAS DE CERÁMICA DE ORO ROSA PARA FLORES, MACETAS PEQUEÑAS ESMALTADAS PARA SUCULENTAS DE 4""+5""+6"" PULGADAS CON AGUJERO DE DRENAJE, MACETAS MODERNAS DECORATIVAS DE INTERIOR JUEGO DE 3",22281,"Entrega por CLP 18,972 entre el 20 de feb - 6 de mar",Amazon,11-02-2026,18972,41253
"60 UNIDADES DE MACETAS DE VIVERO TRANSPARENTES DE 3.5/4/5/6/7 PULGADAS CON ORIFICIO DE DRENAJE, TAMAÑOS VARIADOS, MACETAS TRANSPARENTES DE PLÁSTICO PARA INICIO DE SEMILLAS, PARA PLANTAS CON",21424,"Entrega por CLP 19,538 el vie, 27 de feb",Amazon,11-02-2026,19538,40962
"MACETAS DE 10 PULGADAS PARA INTERIORES Y EXTERIORES, PAQUETE DE 4 MACETAS DE PLÁSTICO PARA PLANTAS DE INTERIOR CON AGUJEROS DE DRENAJE Y BANDEJAS, JUEGOS DE CONTENEDORES DECORATIVOS DE RESINA",19709,"Entrega por CLP 21,072 el mié, 25 de feb",Amazon,11-02-2026,21072,40781
"PAQUETE DE 30 MACETAS TRANSPARENTES PARA PLANTAS DE VIVERO, MACETA DE PLÁSTICO DE ALTA TRANSPARENCIA DE 3.5/4/5 PULGADAS CON AGUJEROS DE DRENAJE, INCLUYE 20 ETIQUETAS",8127,"Entrega por CLP 12,568 el mié, 25 de feb",Amazon,11-02-2026,12568,20695
"LE TAUCI MACETA PARA PLANTAS DE 10 PULGADAS, MACETAS DE CERÁMICA PARA PLANTAS CON ORIFICIO DE DRENAJE Y TAPÓN DE GOMA, MACETAS PARA PLANTAS DE INTERIOR PARA HOGAR JARDÍN PATIO OFICINA, MACETA",42856,"Entrega por CLP 42,625 el jue, 26 de feb",Amazon,11-02-2026,42625,85481
"LE TAUCI MACETAS DE CERÁMICA, 4.3+5.3+6.8 PULGADAS, JUEGO DE 3, MACETAS CON ORIFICIO DE DRENAJE Y PLATILLO, MACETA DE INTERIOR CON ALMOHADILLA DE MALLA DE AGUJERO, REGALOS PARA MAMÁ, COLOR BLANCO",24424,"Entrega GRATIS el mié, 25 de feb a Chile en US$49 (CLP 42,008) de artículos elegibles",Amazon,11-02-2026,42008,66432
"MACETAS, MACETAS DE CERÁMICA VINTAGE PARA PLANTAS DE INTERIOR, MACETAS DE 6.29 PULGADAS CON DRENAJE, FLORERO Y MACETAS DE LAVANDA DE CAMPO FRANCÉS, DECORACIÓN ANTIGUA DE HABITACIÓN DEL",18852,"Entrega por CLP 32,046 el mié, 25 de feb",Amazon,11-02-2026,32046,50898
"VIVOSUN 50 MACETAS DE PLÁSTICO DE 6 PULGADAS, MACETA DE INICIO DE SEMILLAS, CONTENEDOR DE PLANTAS DE FLORES PARA PLÁNTULAS, ESQUEJES, TRASPLANTES",21424,"Entrega por CLP 27,648 el mié, 25 de feb",Amazon,11-02-2026,27648,49072
"DEEP DREAM - MACETAS DE 6 PULGADAS - MACETA DE CERÁMICA CON ORIFICIO DE DRENAJE Y PLATILLO, MACETA REDONDA PARA SUCULENTAS, LENGUA DE SUEGRA Y CACTUS DE INTERIOR Y EXTERIOR, AZUL",17137,"Entrega por CLP 17,712 el mié, 25 de feb",Amazon,11-02-2026,17712,34849
CREATIVE CO-OP - MACETA GRANDE DE CERÁMICA BLANCA MATE CON RELIEVE,84864,"Entrega por CLP 61,854 el jue, 26 de feb",Amazon,11-02-2026,61854,146718
"LINZINAR SOPORTE PARA PLANTAS DE INTERIOR DE 4 NIVELES Y 5 MACETAS MÚLTIPLES SOPORTES PARA PLANTAS PARA JARDÍN, ESQUINA, BALCÓN, SALA DE ESTAR, COLOR NEGRO",17995,"Entrega por CLP 22,376 el mié, 25 de feb",Amazon,11-02-2026,22376,40371
,,,Amazon,11-02-2026,,
,,,Amazon,11-02-2026,,
