Producto,Precio,Precio envio,Tienda,Fecha
"DeeCoo Juego de 3 macetas de cerámica para interiores con agujeros de drenaje, 5.7/4.7/3.5/pulgadas, macetas decorativas modernas para plantas al aire libre, lirios, cactus, suculentas, serpientes y",16444,"Entrega por CLP 27,338 entre el 2 - 9 de mar",Amazon,18-02-2026
"Paquete de 5 macetas con drenaje de 7/6.5/6/5.5/5 pulgadas, macetas de riego automático para plantas de interior, macetas para plantas de interior y exterior, maceta de plástico, maceta para",11240,"Entrega GRATIS el mié, 4 de mar a Chile en US$49 (CLP 42,432) de artículos elegibles",Amazon,18-02-2026
"QCQHDU Maceta de 8 pulgadas, paquete de 2 macetas para plantas de interior con agujeros de drenaje y platillo, macetas para exteriores, decoración moderna para el hogar y el jardín",14712,"Entrega por CLP 18,687 el mié, 4 de mar",Amazon,18-02-2026
"MIXC Macetas de vivero engrosadas transparentes con base de silicona para fácil trasplante, 30 paquetes de 4 pulgadas, maceta transparente reutilizable para plántulas de vegetales, esquejes de raíz",17267,"Entrega GRATIS el mié, 4 de mar a Chile en US$49 (CLP 42,432) de artículos elegibles",Amazon,18-02-2026
"Orceler Macetas de terracota y arcilla de 6 pulgadas para plantas con platillo, macetas medianas de terracota con orificio de drenaje, maceta con bandeja, maceta de terracota para plantas de interior",16505,"Entrega por CLP 23,511 entre el 2 - 9 de mar",Amazon,18-02-2026
"Macetas de 4 Pulgadas, Juego de 6 Macetas de Interior, Macetas con Agujeros de Drenaje y Bandejas para Orquídeas, Violetas, Suculentas, Hierbas y Otras Plantas, Coloridas",7785,"Entrega por CLP 12,167 el mié, 4 de mar",Amazon,18-02-2026
"Macetas de interior de 6 pulgadas con orificio de drenaje y platillo de bandeja, macetas para plantas y flores de jardín de interiores y exteriores, multicolor, 4 paquetes",8651,"Entrega por CLP 15,111 el mié, 4 de mar",Amazon,18-02-2026
"Land Guard - Kit de maceta de jardín elevada de metal galvanizado, para exteriores, grande, ovalada, para vegetales",23026,"Entrega GRATIS el mié, 4 de mar a Chile en US$49 (CLP 42,432) de artículos elegibles",Amazon,18-02-2026
"LE TAUCI Macetas de 12 pulgadas para plantas, macetas de cerámica con agujeros de drenaje y platillos, maceta grande elegante y duradera, perfecta para decoración del hogar y la oficina, color blanco",60608,"Entrega por CLP 56,763 el mié, 4 de mar",Amazon,18-02-2026
"Lindas macetas de cerámica para suculentas, maceta con drenaje y platillo adjunto, juego de 5 plantas no incluidas (redonda)",19908,"Entrega GRATIS el mié, 4 de mar a Chile en US$49 (CLP 42,432) de artículos elegibles",Amazon,18-02-2026
"Paquete de 30 macetas de plástico de 5 galones, macetas suaves de 12.8 pulgadas de grosor con agujeros de drenaje, contenedor de flores para plantas de semillero, jardín, interior y exterior",43289,"Entrega por CLP 51,117 el jue, 5 de mar",Amazon,18-02-2026
Utopia Home Macetas para plantas de interior con agujeros de drenaje – Juego de 5 macetas de flores de plástico blanco (7/6.6/6/5.3/4.8 pulgadas) – Macetas modernas para plantas de interior,12981,"Entrega por CLP 16,263",Amazon,18-02-2026
"Paquete de 10 macetas de 6 pulgadas con drenaje y platillos, macetas de plástico negro para plantas de interior y exterior, macetas apilables para plantas de interior y hierbas, color negro",14799,"Entrega por CLP 15,258 el mié, 4 de mar",Amazon,18-02-2026
"Juego de 2 macetas grandes altas para interiores o exteriores, 24 pulgadas, macetas altas cónicas con bandeja para porche, patio, patio trasero, macetas grandes para plantas de interior al aire",57577,"Entrega por CLP 72,722 el jue, 5 de mar",Amazon,18-02-2026
"Maceta para exteriores con diseño de celosía - Maceta cuadrada de 14.75 pulgadas, 13 pulgadas de alto, maceta blanca para plantas - Macetas decorativas para decoración de porche delantero - Macetas al",17475,"Entrega por CLP 23,909 el mié, 4 de mar",Amazon,18-02-2026
"Worth Juego de macetas redondas de 9 galones de alto, 2-14 pulgadas de diámetro x 21 pulgadas de alto, con acabado de piedra, contenedor decorativo para interiores, jardín, patio, irrompible, beige",455715,"Entrega GRATIS el jue, 5 de mar a Chile",Amazon,18-02-2026
"Macetas WEICHENGXING, 12/10/9/8/ Pulgadas Grandes Macetas de Plástico Auto-Riego para Plantas de Interior y Exterior con Agujeros de Drenaje, Depósito Profundo, Maceta de Plantación para Vivero para",28568,"Entrega por CLP 27,555 el mié, 4 de mar",Amazon,18-02-2026
"JERIA Paquete de 100 macetas de plástico de 4 pulgadas que vienen con 100 etiquetas para plantas, contenedor de plantas de flores de plántulas y macetas de inicio de semillas",7785,"Entrega por CLP 12,877 el mié, 4 de mar",Amazon,18-02-2026
"LE TAUCI Macetas de 4.1 + 5.1 + 6.5 pulgadas, juego de 3, macetas de cerámica con orificio de drenaje y platillo, maceta de interior con almohadilla de malla de agujero, regalos para mamá, esmalte",25961,"Entrega por CLP 25,372 el mié, 4 de mar",Amazon,18-02-2026
"Quarut Paquete de 3 macetas de 10 pulgadas, macetas de barril de whisky con agujeros de drenaje y platillo, macetas de plástico para decoración de flores con diseño de barril de vino imitación, para",22506,"Entrega por CLP 21,874 el jue, 5 de mar",Amazon,18-02-2026
"Gepege - Macetas blancas de interior, maceta de cerámica con orificio de drenaje, 6.0, 5.0 y 4.0 pulgadas, maceta para orquídeas y suculentas, esmalte perlado de arcoíris",18696,"Entrega por CLP 17,795 el mié, 4 de mar",Amazon,18-02-2026
"Paquete de 6 macetas de terracota y arcilla de 6 pulgadas con platillo para plantas, maceta grande de terracota con orificio de drenaje, maceta para plantas de interior y exterior",17310,"Entrega por CLP 26,282 el mié, 4 de mar",Amazon,18-02-2026
Creative Co-Op - Maceta grande de cerámica blanca mate con relieve,85720,"Entrega por CLP 62,478 el mié, 4 de mar",Amazon,18-02-2026
"Kante - Maceta redonda de hormigón de 24 pulgadas de altura, macetas grandes para interiores y exteriores con orificio de drenaje y tapón de goma, macetas decorativas modernas de jardín para patio",96614,"Entrega por CLP 130,351 entre el 2 - 19 de mar",Amazon,18-02-2026
"CosmoLiving by Cosmopolitan - Maceta de metal para interiores y exteriores, maceta grande con soporte extraíble, juego de 2 macetas de 19 pulgadas, 22 pulgadas de alto, color dorado",52806,"Entrega por CLP 81,806 el jue, 5 de mar",Amazon,18-02-2026
"Paquete de 300 Macetas de Plástico de 4 Pulgadas para Plantas, Macetas Pequeñas para Plántulas, Macetas para Suculentas, Macetas con Agujeros de Drenaje, Incluye 300 Etiquetas para Plantas",19042,"Entrega por CLP 19,103 el mié, 4 de mar",Amazon,18-02-2026
Classic Home and Garden Rosie - Maceta moderna con drenaje - Cuencos de macetas contemporáneos - Jarrones redondos poco profundos para plantas pequeñas - Macetas versátiles para interiores y,15544,"Entrega por CLP 15,171 el mié, 4 de mar",Amazon,18-02-2026
"Paquete de 30 macetas transparentes para plantas de vivero, maceta de plástico de alta transparencia de 3.5/4/5 pulgadas con agujeros de drenaje, incluye 20 etiquetas",8642,"Entrega por CLP 12,695 el mié, 4 de mar",Amazon,18-02-2026
"Soporte para plantas de interior con luces de cultivo, estante grande de 55 pulgadas de alto con 7 niveles para plantas de interior, estante en forma de jarrón, soporte para macetas",57144,"Entrega por CLP 41,652 el mié, 4 de mar",Amazon,18-02-2026
"Macetas WEICHENGXING, 12/10/9/8/ Pulgadas Grandes Macetas de Plástico Auto-Riego para Plantas de Interior y Exterior con Agujeros de Drenaje, Depósito Profundo, Maceta de Plantación para Vivero para",28568,"Entrega por CLP 27,555 el mié, 4 de mar",Amazon,18-02-2026
"100 Pack de Macetas de Vivero de Plantas de 8 cm, Macetas Cuadradas Duraderas para Plántulas con Agujeros de Drenaje, Macetas de Plástico Reutilizables Pequeñas para Plantas de Semillas",25970,"Entrega GRATIS el mié, 4 de mar a Chile en US$49 (CLP 42,432) de artículos elegibles",Amazon,18-02-2026
,,,Amazon,18-02-2026
,,,Amazon,18-02-2026
