Producto,Precio,Tienda,Fecha
Chono Negro (Autorregante L) y Pedestal Picunche L,77990,Plantme,04-03-2026
Chono Blanco (Autorregante L),54990,Plantme,04-03-2026
Chono Blanco (Autorregante L) y Pedestal Picunche L,77990,Plantme,04-03-2026
Inca Negro XL (Macetero Autorregante 42x36),89990,Plantme,04-03-2026
Inca Blanco XL (Macetero Autorregante 42x36),89990,Plantme,04-03-2026
Inca Grafito XL (Macetero Autorregante 42x36),89990,Plantme,04-03-2026
Inca Negro XXL (Macetero Autorregante 50x44),109990,Plantme,04-03-2026
Inca Blanco XXL (Macetero Autorregante 50x44),109990,Plantme,04-03-2026
Inca Grafito XXXL (Macetero Autorregante 60x54),129990,Plantme,04-03-2026
Inca Negro XXXL (Macetero Autorregante 60x54),129990,Plantme,04-03-2026
Mallawi 37 (Fibra de Arcilla),64990,Plantme,04-03-2026
Mallawi 47 (Fibra de Arcilla),79990,Plantme,04-03-2026
Alejandría 33 (Fibra de Cemento),69990,Plantme,04-03-2026
Dinamarca 19x18 Gris (Macetero Porcelana M),26990,Plantme,04-03-2026
Dinamarca 24x23 Gris (Macetero Porcelana L),34990,Plantme,04-03-2026
Dinamarca 19x18 Negro (Macetero Porcelana M),26990,Plantme,04-03-2026
Dinamarca 24x23 Negro (Macetero Porcelana L),34990,Plantme,04-03-2026
Dinamarca 24x23 Blanco (Macetero Porcelana L),34990,Plantme,04-03-2026
,,Plantme,04-03-2026
,,Plantme,04-03-2026
,,Plantme,04-03-2026
,,Plantme,04-03-2026
,,Plantme,04-03-2026
,,Plantme,04-03-2026
,,Plantme,04-03-2026
,,Plantme,04-03-2026
Seul Blanco XS (Macetero de Ceramica),4990,Plantme,04-03-2026
Seul Celeste XS (Macetero de Ceramica),4990,Plantme,04-03-2026
Zurich Blanco XS (Macetero de Ceramica),6990,Plantme,04-03-2026
Zurich Negro XS (Macetero de Ceramica),6990,Plantme,04-03-2026
Danés L Negro (Porta Macetero de Ceramica),39990,Plantme,04-03-2026
Danés L Gris (Porta Macetero de Ceramica),39990,Plantme,04-03-2026
Danés L Negro (Porta Macetero de Ceramica) y Pedestal Picunche L,54990,Plantme,04-03-2026
Danés L Gris (Porta Macetero de Ceramica) y Pedestal Picunche L,54990,Plantme,04-03-2026
Estambul Blanco XL (Macetero Autorregante),109990,Plantme,04-03-2026
Estambul Grafito XL (Macetero Autorregante),109990,Plantme,04-03-2026
Estambul Grafito XXL (Macetero Autorregante),129990,Plantme,04-03-2026
Estambul Negro XXL (Macetero Autorregante),129990,Plantme,04-03-2026
Guilis L (Canasto de Fibra Natural),14990,Plantme,04-03-2026
Guilis XL (Canasto de Fibra Natural),24990,Plantme,04-03-2026
Río Gris (Macetero),21990,Plantme,04-03-2026
Río Blanco (Macetero),21990,Plantme,04-03-2026
Creta Blanco 25 (Porta macetero M),16990,Plantme,04-03-2026
Creta Negro 32 (Porta macetero L),21990,Plantme,04-03-2026
Creta Negro 41 (Porta macetero XL),34990,Plantme,04-03-2026
Creta Blanco 41 (Porta macetero XL),34990,Plantme,04-03-2026
Creta Blanco 56 (Porta macetero XXL),54990,Plantme,04-03-2026
Creta Cafe 32 (Porta macetero L),21990,Plantme,04-03-2026
"Atenas Negro 21,8 (Autorregante M)",34990,Plantme,04-03-2026
"Atenas Negro 32,42 (Autorregante L)",49990,Plantme,04-03-2026
"Atenas Blanco 21,8 (Autorregante M)",34990,Plantme,04-03-2026
"Atenas Blanco 32,42 (Autorregante L)",49990,Plantme,04-03-2026
"Atenas Cafe 32,42 (Autorregante L)",49990,Plantme,04-03-2026
Inca Negro (Autorregante XL) y Pedestal Picunche XL,119990,Plantme,04-03-2026
Inca Blanco (Autorregante XL) y Pedestal Picunche XL,119990,Plantme,04-03-2026
Valencia Negro 80 (Autorregante XXL),54990,Plantme,04-03-2026
Pehuenche Blanco L (Portamacetero de Metal) y Pedestal Picunche L,44990,Plantme,04-03-2026
Gift Card PlantMe,,Plantme,04-03-2026
Nórdico Blanco S (Macetero de Ceramica),16990,Plantme,04-03-2026
Danés L Blanco (Porta Macetero de Ceramica),39990,Plantme,04-03-2026
Dinamarca 19x18 Blanco (Macetero Porcelana M),26990,Plantme,04-03-2026
Río Negro (Macetero),21990,Plantme,04-03-2026
Nórdico Blanco L (Macetero de Ceramica),44990,Plantme,04-03-2026
Danés L Blanco (Porta Macetero de Ceramica) y Pedestal Picunche L,54990,Plantme,04-03-2026
Inca Grafito XXL (Macetero Autorregante 50x44),109990,Plantme,04-03-2026
Dinamarca 16x14 Negro (Macetero Porcelana S),18990,Plantme,04-03-2026
,,Plantme,04-03-2026
,,Plantme,04-03-2026
,,Plantme,04-03-2026
,,Plantme,04-03-2026
,,Plantme,04-03-2026
,,Plantme,04-03-2026
,,Plantme,04-03-2026
,,Plantme,04-03-2026
Cairo 46x42 Blanco (Macetero de Fibra de Vidrio XXL),55993,Plantme,04-03-2026
Macetero Greda Negro Banda 50x50,84990,Plantme,04-03-2026
"Lisboa Negro 37,5 (Autorregante XL)",54990,Plantme,04-03-2026
"Lisboa Negro 27,7 (Autorregante L)",34990,Plantme,04-03-2026
"Lisboa Blanco 37,5 (Autorregante XL)",54990,Plantme,04-03-2026
"Creta Blanco 18,5 (Porta macetero S)",12990,Plantme,04-03-2026
"Lisboa Blanco 27,7 (Autorregante L)",34990,Plantme,04-03-2026
Creta Blanco 32 (Porta macetero L),21990,Plantme,04-03-2026
Inca Grafito (Autorregante XL) y Pedestal Picunche XL,119990,Plantme,04-03-2026
Estambul Negro XL (Macetero Autorregante),109990,Plantme,04-03-2026
"Creta Negro 18,5 (Porta macetero S)",12990,Plantme,04-03-2026
"Atenas Blanco 36,5 (Autorregante XL)",64990,Plantme,04-03-2026
"Lisboa Cafe 37,5 (Autorregante XL)",54990,Plantme,04-03-2026
"Lisboa Cafe 27,7 (Autorregante L)",34990,Plantme,04-03-2026
"Atenas Negro 36,5 (Autorregante XL)",64990,Plantme,04-03-2026
Creta Cafe 25 (Porta macetero M),16990,Plantme,04-03-2026
"Valencia Negro 49,5 (Autorregante XL)",34990,Plantme,04-03-2026
Pack Marruecos Negro (Maceteros de Fibra de Arcilla),134978,Plantme,04-03-2026
Pack Nórdicos Negros L y XL (Macetero de Ceramica),114990,Plantme,04-03-2026
Creta Negro 56 (Porta macetero XXL),54990,Plantme,04-03-2026
Inca Blanco XXXL (Macetero Autorregante 60x54),129990,Plantme,04-03-2026
"Atenas Cafe 36,5 Autorregante XL)",64990,Plantme,04-03-2026
"Atenas Cafe 21,8 (Autorregante M)",34990,Plantme,04-03-2026
"Jardinera Sevilla Gris 49,5",9990,Plantme,04-03-2026
Pack Dinamarca Negro (Maceteros de Porcelana),80970,Plantme,04-03-2026
Creta Cafe 41 (Porta macetero XL),34990,Plantme,04-03-2026
Zurich Verde XS (Macetero de Ceramica),6990,Plantme,04-03-2026
Valencia Gris 80 (Autorregante XXL),54990,Plantme,04-03-2026
Bangkok Grafito 39 (Macetero Fiberclay),54990,Plantme,04-03-2026
Macetero Greda Negro Banda 25x25,24990,Plantme,04-03-2026
Estambul Blanco XXL (Macetero Autorregante),129990,Plantme,04-03-2026
Pack Nórdicos Blancos L y XL (Macetero de Ceramica),114990,Plantme,04-03-2026
Murcia 27 Blanco Piedra (Macetero Colgante Plástico Reciclado),12990,Plantme,04-03-2026
Pack 3 Seul Celestes (Macetero de Ceramica),11990,Plantme,04-03-2026
"Valencia Gris 49,5 (Autorregante XL)",34990,Plantme,04-03-2026
Macetero Greda Natural Banda 45x45,54990,Plantme,04-03-2026
Paila Negro M (Greda),21990,Plantme,04-03-2026
Paila Gris M (Greda),21990,Plantme,04-03-2026
Macetero Greda Negro Anillos 40x40,54990,Plantme,04-03-2026
Macetero Greda Negro Anillos 50x50,84990,Plantme,04-03-2026
